,query,value,query_type,state,date
0,barbie movie,100,top,AL,2023-07-01 2023-07-02
1,movie theater near me,77,top,AL,2023-07-01 2023-07-02
2,nefarious movie,35,top,AL,2023-07-01 2023-07-02
3,barbie movie 2023,33,top,AL,2023-07-01 2023-07-02
4,sound of freedom movie,30,top,AL,2023-07-01 2023-07-02
5,no hard feelings movie,27,top,AL,2023-07-01 2023-07-02
6,oppenheimer movie,19,top,AL,2023-07-01 2023-07-02
7,megan movie,18,top,AL,2023-07-01 2023-07-02
8,cullman movie theater,16,top,AL,2023-07-01 2023-07-02
9,cinnamon movie,11,top,AL,2023-07-01 2023-07-02
10,nefarious movie,87850,rising,AL,2023-07-01 2023-07-02
11,cullman movie theater,39500,rising,AL,2023-07-01 2023-07-02
12,barbie movie 2023,190,rising,AL,2023-07-01 2023-07-02
13,barbie movie,100,top,AZ,2023-07-01 2023-07-02
14,movie theater,99,top,AZ,2023-07-01 2023-07-02
15,movie theaters,68,top,AZ,2023-07-01 2023-07-02
16,mario movie,55,top,AZ,2023-07-01 2023-07-02
17,indiana jones movie,54,top,AZ,2023-07-01 2023-07-02
18,movie theaters near me,36,top,AZ,2023-07-01 2023-07-02
19,super mario movie,33,top,AZ,2023-07-01 2023-07-02
20,elemental movie,32,top,AZ,2023-07-01 2023-07-02
21,movie showtimes,29,top,AZ,2023-07-01 2023-07-02
22,no hard feelings,26,top,AZ,2023-07-01 2023-07-02
23,no hard feelings movie,23,top,AZ,2023-07-01 2023-07-02
24,movie times,21,top,AZ,2023-07-01 2023-07-02
25,sound of freedom movie,19,top,AZ,2023-07-01 2023-07-02
26,kraken movie,19,top,AZ,2023-07-01 2023-07-02
27,oppenheimer movie,18,top,AZ,2023-07-01 2023-07-02
28,barbie movie 2023,18,top,AZ,2023-07-01 2023-07-02
29,nimona movie,16,top,AZ,2023-07-01 2023-07-02
30,titanic movie,15,top,AZ,2023-07-01 2023-07-02
31,fnaf movie,15,top,AZ,2023-07-01 2023-07-02
32,the flash movie,13,top,AZ,2023-07-01 2023-07-02
33,past lives movie,13,top,AZ,2023-07-01 2023-07-02
34,my fault movie,12,top,AZ,2023-07-01 2023-07-02
35,megan movie,11,top,AZ,2023-07-01 2023-07-02
36,super mario bros movie,10,top,AZ,2023-07-01 2023-07-02
37,drive in movie,10,top,AZ,2023-07-01 2023-07-02
38,megan movie,48800,rising,AZ,2023-07-01 2023-07-02
39,elemental movie review,35850,rising,AZ,2023-07-01 2023-07-02
40,nimona movie,450,rising,AZ,2023-07-01 2023-07-02
41,movie theaters near me,190,rising,AZ,2023-07-01 2023-07-02
42,kraken movie,140,rising,AZ,2023-07-01 2023-07-02
43,drive in movie,110,rising,AZ,2023-07-01 2023-07-02
44,indiana jones movie,100,rising,AZ,2023-07-01 2023-07-02
45,no hard feelings,70,rising,AZ,2023-07-01 2023-07-02
46,super mario movie,50,rising,AZ,2023-07-01 2023-07-02
47,my fault movie,50,rising,AZ,2023-07-01 2023-07-02
48,nefarious movie,50,rising,AZ,2023-07-01 2023-07-02
49,movie theater,50,rising,AZ,2023-07-01 2023-07-02
50,jennifer lawrence new movie,40,rising,AZ,2023-07-01 2023-07-02
51,barbie movie,100,top,AR,2023-07-01 2023-07-02
52,mario movie,47,top,AR,2023-07-01 2023-07-02
53,elemental movie,47,top,AR,2023-07-01 2023-07-02
54,movie theater near me,31,top,AR,2023-07-01 2023-07-02
55,titanic movie,27,top,AR,2023-07-01 2023-07-02
56,elemental movie,170,rising,AR,2023-07-01 2023-07-02
57,titanic movie,60,rising,AR,2023-07-01 2023-07-02
58,movies,100,top,CA,2023-07-01 2023-07-02
59,movie theater,98,top,CA,2023-07-01 2023-07-02
60,barbie,74,top,CA,2023-07-01 2023-07-02
61,barbie movie,73,top,CA,2023-07-01 2023-07-02
62,movie theaters,40,top,CA,2023-07-01 2023-07-02
63,movie near me,39,top,CA,2023-07-01 2023-07-02
64,mario movie,37,top,CA,2023-07-01 2023-07-02
65,indiana jones movie,35,top,CA,2023-07-01 2023-07-02
66,past lives movie,23,top,CA,2023-07-01 2023-07-02
67,movie showtimes,23,top,CA,2023-07-01 2023-07-02
68,movie times,20,top,CA,2023-07-01 2023-07-02
69,old movie,18,top,CA,2023-07-01 2023-07-02
70,elemental movie,18,top,CA,2023-07-01 2023-07-02
71,super mario movie,18,top,CA,2023-07-01 2023-07-02
72,flash movie,17,top,CA,2023-07-01 2023-07-02
73,scary movie,14,top,CA,2023-07-01 2023-07-02
74,oppenheimer movie,13,top,CA,2023-07-01 2023-07-02
75,no hard feelings movie,13,top,CA,2023-07-01 2023-07-02
76,titanic movie,12,top,CA,2023-07-01 2023-07-02
77,fnaf movie,12,top,CA,2023-07-01 2023-07-02
78,movie theaters near me,12,top,CA,2023-07-01 2023-07-02
79,theaters near me,11,top,CA,2023-07-01 2023-07-02
80,barbie movie 2023,11,top,CA,2023-07-01 2023-07-02
81,indiana jones new movie,11,top,CA,2023-07-01 2023-07-02
82,movie theater near me,11,top,CA,2023-07-01 2023-07-02
83,book club movie,15250,rising,CA,2023-07-01 2023-07-02
84,annihilation movie,11400,rising,CA,2023-07-01 2023-07-02
85,unbreakable movie,11150,rising,CA,2023-07-01 2023-07-02
86,hypnotic movie,8200,rising,CA,2023-07-01 2023-07-02
87,monster truck movie,7800,rising,CA,2023-07-01 2023-07-02
88,champions movie,6800,rising,CA,2023-07-01 2023-07-02
89,pixels movie,6300,rising,CA,2023-07-01 2023-07-02
90,mud movie,6000,rising,CA,2023-07-01 2023-07-02
91,jezebel movie,5800,rising,CA,2023-07-01 2023-07-02
92,scariest movie on netflix,5700,rising,CA,2023-07-01 2023-07-02
93,sputnik movie,5600,rising,CA,2023-07-01 2023-07-02
94,anaconda movie,3900,rising,CA,2023-07-01 2023-07-02
95,brooklyn movie,2650,rising,CA,2023-07-01 2023-07-02
96,enemy movie,350,rising,CA,2023-07-01 2023-07-02
97,movie 43,300,rising,CA,2023-07-01 2023-07-02
98,warrior movie,250,rising,CA,2023-07-01 2023-07-02
99,the car movie,250,rising,CA,2023-07-01 2023-07-02
100,how long is the indiana jones movie,250,rising,CA,2023-07-01 2023-07-02
101,how long is indiana jones movie,200,rising,CA,2023-07-01 2023-07-02
102,how long is the new indiana jones movie,200,rising,CA,2023-07-01 2023-07-02
103,movie showtimes near me,190,rising,CA,2023-07-01 2023-07-02
104,dungeons and dragons movie,170,rising,CA,2023-07-01 2023-07-02
105,barbie movie trailer,170,rising,CA,2023-07-01 2023-07-02
106,lucy movie,150,rising,CA,2023-07-01 2023-07-02
107,nimona movie,140,rising,CA,2023-07-01 2023-07-02
108,movie theater,100,top,CO,2023-07-01 2023-07-02
109,barbie movie,75,top,CO,2023-07-01 2023-07-02
110,mario movie,46,top,CO,2023-07-01 2023-07-02
111,super mario movie,24,top,CO,2023-07-01 2023-07-02
112,drive in movie theater,19,top,CO,2023-07-01 2023-07-02
113,sound of freedom movie,17,top,CO,2023-07-01 2023-07-02
114,past lives movie,17,top,CO,2023-07-01 2023-07-02
115,elemental movie,16,top,CO,2023-07-01 2023-07-02
116,super mario bros movie,16,top,CO,2023-07-01 2023-07-02
117,no hard feelings movie,16,top,CO,2023-07-01 2023-07-02
118,movie theatre near me,16,top,CO,2023-07-01 2023-07-02
119,titanic movie,12,top,CO,2023-07-01 2023-07-02
120,oppenheimer,12,top,CO,2023-07-01 2023-07-02
121,movie theaters near me,11,top,CO,2023-07-01 2023-07-02
122,barbie movie 2023,11,top,CO,2023-07-01 2023-07-02
123,the car movie,11,top,CO,2023-07-01 2023-07-02
124,nimona movie,9,top,CO,2023-07-01 2023-07-02
125,oppenheimer movie,9,top,CO,2023-07-01 2023-07-02
126,dungeons and dragons movie,7,top,CO,2023-07-01 2023-07-02
127,megan movie,7,top,CO,2023-07-01 2023-07-02
128,jennifer lawrence new movie,6,top,CO,2023-07-01 2023-07-02
129,regal movie theaters,5,top,CO,2023-07-01 2023-07-02
130,barbie movie release date,4,top,CO,2023-07-01 2023-07-02
131,how long is the new indiana jones movie,3,top,CO,2023-07-01 2023-07-02
132,nimona movie,56850,rising,CO,2023-07-01 2023-07-02
133,dungeons and dragons movie,47250,rising,CO,2023-07-01 2023-07-02
134,regal movie theaters,29450,rising,CO,2023-07-01 2023-07-02
135,how long is the new indiana jones movie,16950,rising,CO,2023-07-01 2023-07-02
136,super mario movie,200,rising,CO,2023-07-01 2023-07-02
137,super mario bros movie,150,rising,CO,2023-07-01 2023-07-02
138,mario movie,110,rising,CO,2023-07-01 2023-07-02
